inflection_point_slope,a,b,c,a_min,b_min,c_min,a_max,b_max,c_max,inflection,a_curve,b_curve,c_curve,R_squared,growth rate,locus id,
12111.3731298159,24539.7430515696,0.302706016965453,5.68535854129683,13602.5026479607,0.221139135974294,2.78203251782954,35476.9834551786,0.384272897956611,8.58868456476413,5.70000570522256,24539.6492715605,5.68533343082379,3.30352749958329,234264999354.216,2365.2,EMPTY,1
10440.7998602375,47290.0747250953,0.311796338685213,9.94732973307531,-69785.9122098597,0.178605428949654,-1.87367848665068,164366.06166005,0.444987248420771,21.7683379528013,NA,47290.3532329609,9.94735746132632,3.20722480307053,5424281.8899992,1551.2,PA14_00020,2
5911.68668548742,12137.3795138834,0.843976191152,3.26300161873125,10719.4306955221,0.64665592987151,2.86328884722129,13555.3283322448,1.04129645243249,3.66271439024122,3.25168051920449,12137.382092203,3.26300237259619,1.1848680172594,9230760.87256439,1949.5,PA14_00030,2
12966.8090319736,31865.7274840541,0.413503612396706,6.81111355339823,-1062.98487505955,0.255870133863881,2.34119890487265,64794.4398431677,0.571137090929531,11.2810282019238,NA,31865.483461758,6.81108080611757,2.41835252579286,11706439.1528205,1974.8,PA14_00070,1
8956.5885714878,18051.616131146,0.608971723821572,4.22718956598896,13887.140726580301,0.461464201999421,3.33710258293099,22216.0915357118,0.756479245643723,5.11727654904692,4.20200214452656,18051.5742815547,4.22718059012039,1.64210820542441,9582714.57790961,2365.3,PA14_00080,1
5015.11625149615,10125.8770427421,0.350587552975385,3.95652927303208,3425.9466912087,0.120670499064806,-0.102490845512301,16825.8073942755,0.580504606885964,8.01554939157646,3.9526435206768,10125.9305449685,3.95656176816138,2.85236872628432,5230168.01212722,809.9,PA14_00120,1
9838.98840910966,32138.8859749022,0.297752948320188,8.64871119339362,-8450.31426898541,0.197436167565082,1.68871084904895,72728.0862187898,0.398069729075293,15.6087115377383,NA,32138.6339718245,8.64866774505355,3.35848200169438,2632372.59100442,1405.8,PA14_00150,1
9238.64735773006,30467.5078474008,0.294011247685215,8.73178669232226,-8543.39339659018,0.1946417383601,1.60513641876269,69478.4090913917,0.393380757010329,15.8584369658818,NA,30467.5426465249,8.73179313394494,3.40123160599879,2258012.691091,1308.2,PA14_00170,1
9251.57488700905,27599.2267091591,0.300167682806213,8.18132669411183,-13745.805471276,0.164496590499954,-0.247550721868983,68944.2588895942,0.435838775112473,16.6102041100926,NA,27599.1068155657,8.18130237583413,3.33146717041943,4211841.71432964,1251.7,PA14_00180,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1639.4,PA14_00210,1
